#,Channel Name,Subscribers,Videos,Total Views,About / Niche,Channel
1,Football Fun,49.8K,473,40.4M,"Lifestyle, Football, Sports",
2,Historias de Futbol,49.6K,846,69.7M,"Sports, Football, Lifestyle",
3,Alvaro SLD,49.5K,198,13.7M,"Vehicles, Lifestyle, Motorsport",
4,Borja.Mr12,49.4K,215,15M,"Movies, Humor, Entertainment, Sports",
5,CeLa Ohana,49.3K,"1,113",26.6M,"Lifestyle, Sports, Football",
6,Restless Bike,49.1K,651,12.1M,"Vehicles, Lifestyle, Motorsport, Sports",
7,Real Galacticos,49.1K,"1,188",6.64M,"Football, Sports",
8,taur666,49K,"1,745",60.7M,"Lifestyle, Sports",
9,Marc,49K,8,223K,"Sports, Hobby, Lifestyle, Football",
10,Iván Gandia,48.9K,596,5.32M,"Football, Sports, Sports game, Gaming",
11,Mario Cortegana,48.7K,272,4.34M,"Sports, Football",
12,Jesús Calleja,48.7K,29,2.39M,"Entertainment, Motorsport, Lifestyle, Hobby, Sports, Vehicles",
13,P. A. D.,48.7K,"1,805",21.1M,"Sports, Tennis",
14,StanGRMach,48.3K,25,7.13M,"Sports, Football",
15,MrBernaBy,48K,523,7.1M,"Football, Sports",
16,WOWfc,47.7K,"1,119",10.5M,"Sports, Mixed martial arts, Boxing, Lifestyle",
17,LOS BLANCOS TV (noticias de REAL MADRID),47.2K,"1,448",12.5M,"Football, Sports",
18,Chiringuito Audiovisual,47K,"1,472",13.5M,"Football, Sports",
19,Subversivo90,46.9K,"2,123",11.3M,"Football, Sports",
20,TwinTrail,46.7K,506,10.2M,"Lifestyle, Vehicles, Motorsport, Sports",
21,Padel Star,46.7K,"2,000",33.9M,"Sports, Lifestyle",
22,Gol de Oro,46.5K,32,460K,"Sports, Football",
23,Guille Glez,46.3K,382,6.07M,"Football, Sports",
24,Uro Tv,46K,"1,137",18.4M,"Lifestyle, Sports",
25,McMartin104,45.3K,379,9.4M,"Vehicles, Lifestyle, Motorsport, Sports",
26,EduGilTV,45.3K,447,26.9M,"Lifestyle, Basketball, Sports",
27,Diewolf19,45.1K,"3,911",84M,"Lifestyle, Football, Sports",
28,El club de la Lucha,45.1K,404,42.9M,"Lifestyle, Boxing, Mixed martial arts, Sports",
29,LlegaRunning,44.7K,51,2.79M,"Lifestyle, Health, Sports",
30,SergioIzquierd,44.5K,"1,175",36.3M,"Football, Sports",
