Rank,Domain,DR,Domain Traffic,Page Traffic,Keywords,Dofollow,Page Type,Language,Total Links,Score,Best Page Title,Best Page URL,Target URL,Anchor
1,com.br,83.0,1787200,831,60,Yes,Article > Guide,pt,37,82.0,7 IAs generativas para criar vídeos: confira as opções,https://www.serasaexperian.com.br/conteudos/ias-generativas-para-criar-videos/,https://hourone.ai/,Hour One
2,hubspot.com,93.0,4113328,0,0,Yes,Article > Guide,en,1,77.2,"AI avatars are already here, and these are the trends I’m most bullish on",https://blog.hubspot.com/marketing/ai-avatar-tools,https://hourone.ai/,Hour One
3,axios.com,91.0,1167905,0,0,Yes,Article > Insights,en,1,76.4,Reid Hoffman's deepfake and digital twins explained,https://www.axios.com/2024/07/09/digital-twins-reid-hoffman-health,https://hourone.ai/,Hour One
4,fortune.com,91.0,2230592,0,0,Yes,Article > News,en,1,76.4,Has Elon Musk already broken his merger agreement with Twitter? | Fortune,https://fortune.com/2022/04/28/has-elon-musk-already-broken-his-merger-agreement-with-twitter/,https://www.hourone.ai/,Hour One
5,builtin.com,86.0,764734,3,1,Yes,Article > Roundup,en,2,73.3,12 AI Companies in Israel to Know | Built In,https://builtin.com/articles/ai-companies-in-israel,https://hourone.ai/,Hour One
6,grandviewresearch.com,91.0,260334,0,0,Yes,Article > News,en,1,72.7,"North America AI Powered Content Creation Market Size & Outlook, 2033",https://www.grandviewresearch.com/horizon/outlook/ai-powered-content-creation-market/north-america,https://www.hourone.ai/,https://www.hourone.ai
7,nvidia.com,91.0,8629635,0,0,Yes,Article > News,ja,2,71.4,NVIDIA がデジタル ヒューマン マイクロサービスをリリース、生成 AI アバターの未来への道を開く,https://www.nvidia.com/ja-jp/about-nvidia/press-releases/2024/digital-humans-ace-generative-ai-microservices/,https://hourone.ai/media/cinematic-avatar-of-nvidia-ceo-jensen-huang-computex-2024/,Hour One
8,mashable.com,91.0,11416680,0,0,Yes,Article > News,"en, nl",1,71.4,Hollywood Star Kerry Washington Reacts to Entrepreneur Reid Hoffman’s Hour One A,https://nl.mashable.com/entertainement/9482/hollywood-star-kerry-washington-reacts-to-entrepreneur-reid-hoffmans-hour-one-avatar,https://hourone.ai/,Hour One
9,clickup.com,90.0,1233344,0,0,Yes,Article > Comparison,nl,22,71.0,10 Synthesia AI-alternatieven voor AI-gegenereerde video's in 2025,https://clickup.com/nl/blog/149056/synthesia-ai-alternatieven,https://hourone.ai/,Uur één
10,vidyard.com,86.0,53160,30,10,Yes,Article > Review,en,1,70.3,9 best AI avatar generators for video in 2025,https://www.vidyard.com/blog/best-ai-avatar-generator/,https://hourone.ai/,HourOne
11,rtve.es,88.0,9824790,0,0,Yes,Article > News,es,1,70.2,¿Se puede ser actor/actriz sin moverse de casa?,https://www.rtve.es/playz/20210830/se-puede-ser-actor-actriz-sin-moverse-casa/2166876.shtml,https://www.hourone.ai/,"""Hour One"
