#,Target,Mode,IP,Protocol,URL Rating,Domain Rating,Ahrefs Rank,Organic / Total Keywords,Organic / Keywords (Top 3),Organic / Keywords (4-10),Organic / Keywords (11-20),Organic / Keywords (21-50),Organic / Keywords (51+),Organic / Traffic,Organic / Value,Organic / Top Countries,Paid / Keywords,Paid / Ads,Paid / Traffic,Paid / Cost,Ref. domains / All,Ref. domains / Followed,Ref. domains / Not followed,Ref. IPs / IPs,Ref. IPs / Subnets,Backlinks / All,Backlinks / Followed,Backlinks / Not followed,Backlinks / Redirects,Backlinks / Internal,Outgoing domains / Followed,Outgoing domains / All time,Outgoing links / Followed,Outgoing links / All time
141,vimeo.com/blog/post/video-content-marketing-strategy,prefix,162.159.138.60,both,4.7,96,25,5,2,2,,1,,28,28.48,"(br, 16)",,,,,1,1,,1,1,1,1,,,16,4,4,4,4
196,www.shopify.com/blog/content-localization,prefix,172.64.145.93,both,4.6,96,23,1,,,,,1,,,"(us, 0)",,,,,1,1,,5,5,11,11,,,14,3,12,5,15
229,userway.org/blog/accessible-videos/,prefix,52.222.177.111,both,0,92,336,2,,2,,,,1,1.66,"(us, 1)",,,,,,,,,,,,,,,,,,
8,yoast.com/hreflang-ultimate-guide/,prefix,172.64.155.6,both,11,91,1060,50,14,18,8,7,3,630,1396.17,"(us, 434)",,,,,224,180,49,228,212,528,428,100,,50,12,17,26,33
231,zapier.com/blog/best-ai-video-generator/,prefix,108.138.233.112,both,7,91,570,1531,357,336,172,390,276,85921,53514.26,"(us, 63408)",,,,,900,455,451,926,591,1832,1010,822,1,76,5,46,153,1438
232,www.digitalocean.com/resources/articles/ai-animation-video-generator,prefix,104.19.173.68,both,0,91,890,28,4,3,2,17,2,15,6.17,"(au, 4)",,,,,,,,,,,,,,6,4,35,4,65
253,www.activecampaign.com/blog/localized-marketing,prefix,104.20.1.15,both,6,91,1071,10,1,7,,,2,39,105.72,"(us, 19)",,,,,3,3,,3,3,4,4,,,31,8,10,9,11
257,neilpatel.com/blog/how-to-international-seo/,prefix,104.20.39.45,both,5,91,819,52,19,17,4,9,3,1498,1809.29,"(us, 1041)",,,,,84,70,15,94,80,158,140,18,,44,17,18,66,67
127,www.deepl.com/en/blog/deepl-articulate-localized-workplace-learning,prefix,104.18.39.209,both,4.4,90,1770,,,,,,,,,,,,,,1,1,,1,1,1,1,,,3,19,19,25,25
191,www.on24.com/blog/how-to-repurpose-your-webinar-series-content/,prefix,162.159.135.42,both,4.7,90,1609,,,,,,,,,,,,,,13,10,3,14,14,22,19,3,,31,11,12,13,15
214,www.bamboohr.com/blog/compliance-training,prefix,104.18.84.31,both,0,90,1544,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,www.articulate.com/blog/multilingual-onboarding-why-you-need-it-and-how-to-do-it/,prefix,141.193.213.21,both,4.5,88,2715,,,,,,,,,,,,,,5,3,2,6,6,27,25,2,,3,6,7,6,7
158,community.articulate.com/blog/articles/e-learning-localization-best-practices/1220822,prefix,18.165.227.69,both,4.4,88,2715,,,,,,,,,,,,,,1,1,,1,1,2,2,,,2,,,,
269,www.learnworlds.com/blog/customer-education/customer-education-strategy/,prefix,172.66.2.13,both,0,87,2818,,,,,,,,,,,,,,1,1,,1,1,1,1,,,17,9,11,11,13
288,www.weglot.com/blog/content-localization,prefix,104.18.38.142,both,6,85,5060,13,4,2,1,3,3,40,0.08,"(us, 35)",,,,,27,24,3,35,35,80,73,7,,180,9,13,13,18
87,www.contentful.com/blog/multilingual-content-marketing/,prefix,76.76.21.241,both,0,84,5992,5,3,2,,,,113,247.12,"(us, 48)",,,,,,,,,,,,,,24,8,9,9,10
197,crowdin.com/blog/content-localization,prefix,3.223.15.136,both,0,84,5549,12,1,6,,1,4,6,0.62,"(br, 4)",,,,,4,4,,4,4,4,4,,,,,,,
224,www.transifex.com/blog/how-to-automate-multilingual-video-at-the-speed-of-localization,prefix,199.60.103.228,both,0,84,5535,,,,,,,,,,,,,,2,2,,3,2,17,17,,,32,8,9,11,14
270,www.techsmith.com/blog/videos-for-customer-connection/,prefix,45.60.13.227,both,4.5,84,5647,,,,,,,,,,,,,,1,1,,1,1,1,1,,,1,,,,
11,aioseo.com/the-beginners-guide-to-wordpress-multilingual-seo/,prefix,104.16.150.108,both,4.7,83,6639,6,,,,2,4,,0.49,"(us, 0)",,,,,4,3,1,5,5,9,8,1,,27,15,17,38,45
149,streamyard.com/blog/repurpose-video-content-ai-streamyard,prefix,104.18.12.37,both,0,83,6684,,,,,,,,,,,,,,,,,,,,,,,6,10,11,13,14
182,corp.kaltura.com/blog/saas-video-marketing-strategy-for-growth-examples-and-video-types/,prefix,216.137.53.8,both,0,83,6359,3,2,1,,,,20,63.96,"(us, 20)",,,,,2,2,,2,2,2,2,,1,2,5,6,6,7
33,clipchamp.com/en/blog/video-based-knowledge-remote-teams/,prefix,150.171.109.215,both,6,82,9273,,,,,,,,,,,,,,2,2,,2,1,2,2,,,3,18,18,37,37
200,payproglobal.com/how-to/expand-saas-business-internationally/,prefix,104.18.20.138,both,4.5,82,8085,2,,1,,1,,1,0.07,"(in, 1)",,,,,4,4,,4,4,4,4,,,22,7,8,8,9
273,www.panopto.com/blog/microlearning-in-elearning/,prefix,104.16.25.64,both,4.6,82,9161,10,3,5,1,1,,39,59.92,"(us, 36)",,,,,,,,,,,,,,22,4,8,5,9
3,www.learndash.com/blog/how-to-translate-your-online-course-and-why-its-a-good-idea/,prefix,172.66.156.67,both,4.4,81,10653,,,,,,,,,,,,,,2,2,,2,2,2,2,,,6,18,21,223,254
131,training.safetyculture.com/blog/elearning-translation-services/,prefix,162.159.133.11,both,4.4,81,10813,6,,3,1,2,,52,231.89,"(us, 52)",,,,,,,,,,,,,,2,18,18,25,25
140,localizejs.com/articles/the-ultimate-guide-to-video-marketing-strategy,prefix,172.66.40.57,both,4.5,81,10601,,,,,,,,,,,,,,,,,,,,,,,14,13,14,23,24
285,www.cincopa.com/blog/how-to-localize-e-learning-videos-for-a-global-audience/,prefix,199.232.54.133,both,4.5,81,11310,,,,,,,,,,,,,,,,,,,,,,,4,,,,
27,www.ukg.com/blog/hr-leaders/hrs-guide-cultural-competence-global-workforce,prefix,104.18.35.166,both,0,80,11714,2,,1,1,,,3,2.06,"(us, 3)",,,,,2,2,,2,2,2,2,,,1,,,,
142,www.leadfeeder.com/blog/marketing-strategy/b2b-video-marketing-strategy/,prefix,216.137.53.123,both,0,80,12650,,,,,,,,,,,,,,1,1,,1,1,1,1,,,11,15,16,24,26
170,www.deel.com/blog/companies-best-onboarding-programs/,prefix,104.18.1.216,both,4.6,80,12566,105,44,43,10,3,5,1081,5061.54,"(us, 988)",,,,,9,6,3,9,9,10,6,4,,18,11,11,15,15
205,screenpal.com/blog/product-demo-videos,prefix,34.192.89.141,both,4.7,80,12385,26,4,20,1,1,,139,436.14,"(us, 127)",,,,,7,7,,7,7,16,16,,1,8,11,11,18,25
28,www.aihr.com/blog/global-hr-management/,prefix,172.66.43.178,both,6,79,15538,17,8,5,2,1,1,135,771.72,"(us, 117)",,,,,,,,,,,,,,,16,18,21,23
32,www.powtoon.com/blog/microsoft-teams-5-ways-video-can-enhance-team-communication/,prefix,151.101.2.132,both,4.6,79,14363,1,,1,,,,5,,"(us, 5)",,,,,3,3,,3,3,15,15,,,16,15,16,21,22
74,artlist.io/blog/elevenlabs-multilingual-v2-live-on-artlist/,prefix,172.64.148.143,both,0,79,14857,,,,,,,,,,,,,,,,,,,,,,,4,9,10,10,11
145,playplay.com/blog/repurpose-video-content/,prefix,104.18.27.196,both,4.8,79,17142,11,2,6,1,1,1,29,26.11,"(us, 29)",,,,,5,5,,5,5,5,5,,,18,8,10,8,13
49,www.prosci.com/blog/implementing-change-management-on-a-global,prefix,199.60.103.28,both,4.5,78,17984,1,1,,,,,32,,"(us, 32)",,,,,3,3,,5,5,12,12,,,172,3,7,4,10
60,www.dacast.com/blog/video-training-platform/,prefix,52.85.47.92,both,4.6,78,18453,1,,,,,1,,0,"(us, 0)",,,,,3,3,,3,3,30,30,,,23,5,7,6,10
126,360learning.com/blog/360learning-ai-translations/,prefix,75.2.60.5,both,4.5,78,21096,,,,,,,,,,,,,,3,3,,3,3,15,15,,,5,6,7,7,8
134,www.3playmedia.com/blog/subtitling-vs-dubbing/,prefix,141.193.213.11,both,9,78,21093,18,11,3,,3,1,82,0.25,"(us, 82)",,,,,45,7,38,43,43,65,9,56,,42,11,16,29,45
177,www.superside.com/blog/content-localization,prefix,216.150.16.65,both,4.6,78,18802,,,,,,,,,,,,,,3,3,,4,4,7,7,,1,13,14,14,17,17
218,www.navattic.com/blog/how-to-scale-global-sales-enablement,prefix,66.33.60.67,both,4.6,78,17725,,,,,,,,,,,,,,1,1,,1,1,1,1,,,,2,3,2,3
267,www.skilljar.com/blog/how-to-create-a-content-localization-strategy-for-a-global-learner-audience-best-practices,prefix,198.202.211.1,both,4.5,78,20276,2,,,,2,,,0.06,"(us, 0)",,,,,1,1,,1,1,1,1,,,5,4,5,8,9
1,speechify.com/blog/podcast-dubbing/,prefix,172.67.68.119,both,4.5,77,22542,,,,,,,,,,,,,,,,,,,,,,,48,14,14,17,17
88,poeditor.com/blog/global-localization-examples/,prefix,194.102.238.102,both,0,77,24953,4,2,2,,,,26,,"(us, 19)",,,,,,,,,,,,,,15,4,5,4,5
122,www.rws.com/blog/what-is-video-localization/,prefix,18.165.227.5,both,4.4,77,25043,3,3,,,,,137,146.84,"(us, 130)",,,,,,,,,,,,,,2,9,9,11,11
162,www.happyscribe.com/blog/localizing-elearning-courses-guide,prefix,172.66.145.200,both,4.6,77,23227,,,,,,,,,,,,,,,,,,,,,,,6,6,7,10,11
192,ewebinar.com/blog/7-creative-ways-to-repurpose-your-webinar-content,prefix,18.239.236.94,both,0,77,24553,,,,,,,,,,,,,,,,,,,,,,,,16,17,24,25
279,clearcompany.com/resources/blog/remote-employee-engagement-strategies,prefix,54.172.246.144,both,0,77,23687,,,,,,,,,,,,,,,,,,,,,,,4,12,13,21,22
202,chartmogul.com/blog/prepare-saas-global-expansion/,prefix,108.138.217.105,both,0,76,28584,,,,,,,,,,,,,,,,,,,,,,,11,4,4,5,5
250,phrase.com/blog/posts/language-industry-trends-2026/,prefix,162.159.135.42,both,0,76,26933,,,,,,,,,,,,,,10,9,1,11,11,11,10,1,,2,6,7,8,9
4,senseilms.com/translate-elearning/,prefix,192.0.78.24,both,0,75,36823,,,,,,,,,,,,,,102,1,101,102,83,104,2,102,,5,12,13,25,26
45,www.amnhealthcare.com/amn-insights/language-services/whitepapers/beyond-words-boosting-patient-safety-with-video-localization/,prefix,104.18.43.39,both,0,75,36512,,,,,,,,,,,,,,,,,,,,,,,15,11,11,13,13
52,universumglobal.com/resources/blog/employer-branding-videos:-how-to-create-them-and-best-examples/,prefix,104.18.7.232,both,5,75,35784,6,6,,,,,122,231.95,"(us, 89)",,,,,1,1,,1,1,1,1,,,13,6,6,9,9
125,www.smartling.com/blog/ai-for-video-localization,prefix,199.60.103.30,both,4.4,75,37390,1,,,,,1,,0,"(us, 0)",,,,,,,,,,,,,,11,6,7,7,8
133,akool.com/blog-posts/ai-training-videos,prefix,166.117.9.65,both,5,75,35168,,,,,,,,,,,,,,3,2,1,5,5,196,188,8,,131,8,10,9,12
144,ignitevisibility.com/video-marketing-guide/,prefix,104.19.154.92,both,6,75,33552,3,1,1,,,1,14,0,"(us, 14)",,,,,4,4,,5,4,8,8,,,58,13,14,20,24
167,voice123.com/blog/the-voice-over-industry/dubbing/,prefix,18.245.187.28,both,5,75,34168,3,,1,,2,,1,3.15,"(us, 1)",,,,,,,,,,,,,,81,12,12,13,13
168,www.guidde.com/knowledge-hub/onboarding-video-best-practices-guide-2026,prefix,198.202.211.1,both,0,75,34295,,,,,,,,,,,,,,,,,,,,,,,,7,8,8,9
252,lokalise.com/blog/marketing-localization/,prefix,13.33.153.71,both,4.8,75,37151,22,16,6,,,,487,1386.28,"(us, 330)",,,,,7,5,2,7,7,7,5,2,,25,8,9,20,21
61,www.lemonlight.com/blog/scale-global-campaigns-using-ai-video-localization/,prefix,162.159.137.54,both,8,74,40634,,,,,,,,,,,,,,1,1,,1,1,1,1,,,9,8,11,11,17
111,www.easygenerator.com/en/blog/e-learning/best-training-video-software/,prefix,104.18.12.112,both,0,74,46322,,,,,,,,,,,,,,,,,,,,,,,32,5,6,5,6
114,www.lionbridge.com/blog/translation-localization/top-5-tips-for-localizing-video-and-audio-content/,prefix,20.42.97.140,both,4.5,74,43251,,,,,,,,,,,,,,,,,,,,,,,11,8,8,8,8
152,simpleshow.com/blog/how-to-create-inclusive-corporate-videos-for-global-audiences/,prefix,52.84.118.122,both,4.6,74,44226,,,,,,,,,,,,,,1,1,,1,1,4,4,,,4,8,12,10,14
166,verbit.ai/general/dubbing-and-localization-what-you-need-to-know/,prefix,141.193.213.10,both,6,74,47858,7,6,,,1,,1,0.16,"(in, 1)",,,,,3,2,1,3,3,3,2,1,1,28,2,13,2,19
172,www.hrcloud.com/blog/global-employee-onboarding-guide,prefix,199.60.103.31,both,0,74,40974,,,,,,,,,,,,,,2,2,,3,3,4,4,,,1,13,15,17,20
206,www.daytranslations.com/blog/audio-and-video-translation-capturing-multilingual-audiences-through-media/,prefix,172.67.131.167,both,4.6,74,42245,,,,,,,,,,,,,,,,,,,,,,,2,12,18,15,21
247,www.pagetiger.com/blog/5-emerging-learning-and-development-trends,prefix,141.101.90.97,both,0,74,43469,1,,1,,,,4,,"(br, 4)",,,,,,,,,,,,,,12,3,4,3,4
268,www.thoughtindustries.com/blog/customer-education-strategy/,prefix,141.193.213.21,both,4.6,74,39808,9,1,4,2,1,1,41,56.91,"(us, 41)",,,,,100,,100,100,83,100,,100,,3,2,7,2,9
281,www.axioshq.com/insights/remote-employee-engagement-how-to-boost-employee-engagement-in-remote-and-hybrid-settings,prefix,199.60.103.225,both,4.5,74,44073,15,2,12,1,,,102,203.83,"(us, 87)",,,,,3,2,1,3,3,5,4,1,,5,8,10,11,13
295,www.vectorsolutions.com/resources/course-catalogs/health-safety-environment-hse-foreign-language-training-library/,prefix,141.193.213.20,both,10,74,46625,,,,,,,,,,,,,,4,4,,5,4,1419,1419,,,2494,6,7,7,8
26,darwinbox.com/blog/how-darwinbox-enables-localization,prefix,3.7.122.49,both,0,73,52635,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,www.transperfect.com/blog/10-best-practices-video-localization,prefix,23.1.228.147,both,4.4,73,49670,,,,,,,,,,,,,,1,1,,1,1,2,2,,,19,,,,
154,globallink.transperfect.com/blog/multilingual-marketing-how-to-reach-foreign-language-audiences,prefix,130.250.213.69,both,4.5,73,49670,11,4,4,1,1,1,149,405.74,"(us, 137)",,,,,,,,,,,,,,1,5,6,9,10
174,www.globalization-partners.com/blog/tips-for-onboarding-international-employees/,prefix,45.223.139.104,both,5,73,55660,1,1,,,,,5,100.97,"(us, 5)",,,,,7,5,2,7,6,8,6,2,,98,9,11,10,12
282,chronus.com/blog/engaging-remote-workers,prefix,141.193.213.11,both,4.7,73,49560,42,12,25,4,1,,200,373.91,"(us, 193)",,,,,13,9,4,12,11,13,9,4,,,,,,
289,www.trados.com/blog/taking-your-business-into-a-new-market/,prefix,108.156.39.108,both,4.5,73,50407,,,,,,,,,,,,,,,,,,,,,,,11,8,8,36,36
25,www.moveworks.com/us/en/resources/blog/global-hr-service-delivery,prefix,13.226.144.92,both,0,72,61130,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,bloomfire.com/blog/knowledge-sharing-platform-vs-knowledge-base/,prefix,54.210.40.90,both,4.5,72,72415,9,2,5,,2,,75,259.81,"(us, 48)",,,,,2,2,,2,2,15,15,,,14,3,8,3,8
67,www.resemble.ai/best-voice-ai-models-multilingual-speech/,prefix,172.66.157.142,both,0,72,63586,,,,,,,,,,,,,,,,,,,,,,,,6,7,7,8
215,www.sociabble.com/blog/sociabble-features/video-communication-uniting-global-teams/,prefix,162.159.135.42,both,4.6,72,75031,,,,,,,,,,,,,,,,,,,,,,,12,8,8,8,8
17,blog.videoscribe.co/going-global-with-your-explainer-video-voice-over,prefix,199.60.103.228,both,4.5,71,76428,,,,,,,,,,,,,,1,,1,1,1,1,,1,,1,6,10,16,23
21,www.tomedes.com/tomedes-insider/what-is-tik-tok.php,prefix,52.70.246.185,both,8,71,92456,,,,,,,,,,,,,,2,2,,2,2,3,3,,,1,16,17,20,21
41,www.gotolstoy.com/blog/ai-video-tools,prefix,198.202.211.1,both,4.5,71,92044,1,,1,,,,,,"(us, 0)",,,,,7,6,1,7,7,7,6,1,,6,14,14,15,15
55,www.papirfly.com/blog/employer-branding/localized-employer-branding-regional-talent/,prefix,18.245.218.106,both,0,71,91108,,,,,,,,,,,,,,2,2,,2,2,2,2,,,,,,,
64,www.testimonialhero.com/blog/8-of-the-best-testimonial-videos-and-what-makes-them-great,prefix,172.67.152.164,both,4.5,71,92516,19,14,5,,,,314,1074.1,"(us, 196)",,,,,3,2,1,3,3,6,5,1,,,8,9,15,23
72,inworld.ai/resources/best-ai-voice-generators,prefix,34.122.194.144,both,0,71,76846,11,3,7,1,,,70,48.47,"(us, 30)",,,,,5,5,,6,6,12,12,,,2,7,7,8,8
105,www.smartcat.com/training-video-creator/,prefix,18.165.242.37,both,5,71,85631,3,1,2,,,,2,1.9,"(us, 1)",,,,,1,1,,2,2,4,4,,,45,1,6,1,6
