domain,first_seen,campaign_type,prospect_url,synthesia_target,dr,traffic,status,contact_name,contact_email,date_enriched,date_outreached,notes
vimeo.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
shopify.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
userway.org,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
zapier.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
activecampaign.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
yoast.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
neilpatel.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
deepl.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
on24.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
bamboohr.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
articulate.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
weglot.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
contentful.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
techsmith.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
crowdin.com,2026-04-08,niche-edit,,https://www.synthesia.io/features/video-translator,,,pushed-to-replyio,,,2026-04-08,2026-04-08,video-translator campaign
