Company Name,Domain,Website,Category,Domain Rating,Organic Traffic,Organic Keywords,Selected Video URL,Video Source,Dubbed To,Synthesia Share Link,Synthesia GIF URL,Trim Start,Trim End,Outreached
ClientSuccess,clientsuccess.com,https://www.clientsuccess.com,,62.0,3934,487,https://www.youtube.com/watch?v=9Ss6uLw__K0,pre_detected,es,https://share.synthesia.io/7779872f-396f-4a8d-a0e6-cdffa4d88e3b,https://synthesia-ttv-data.s3.amazonaws.com/video_data/7779872f-396f-4a8d-a0e6-cdffa4d88e3b/transfers/rendered_video.gif,0:00,0:30,FALSE
Drag,dragapp.com,https://www.dragapp.com/watch-demo/,,62.0,18723,3956,https://www.youtube.com/watch?v=Ogb0cdt606I,found_on_page,es,https://share.synthesia.io/ec9c9a3e-2a21-4faf-a9bc-84784de10996,https://synthesia-ttv-data.s3.amazonaws.com/video_data/ec9c9a3e-2a21-4faf-a9bc-84784de10996/transfers/rendered_video.gif,0:00,0:30,FALSE
Dundas BI,dundas.com,https://www.dundas.com/resources/videos/how-to-build-a-dashboard,,62.0,1519,475,https://www.youtube.com/watch?v=JBXhsQ5HnW8,found_on_page,es,https://share.synthesia.io/e1ad403d-2b3f-4d2b-af93-f2f213421f1c,https://synthesia-ttv-data.s3.amazonaws.com/video_data/e1ad403d-2b3f-4d2b-af93-f2f213421f1c/transfers/rendered_video.gif,0:00,0:30,FALSE
Anomalo,anomalo.com,https://www.anomalo.com,,61.0,2919,260,https://www.youtube.com/watch?v=kGBn1jqk8OI,pre_detected,es,https://share.synthesia.io/e6ba1d76-63e3-4869-a3f1-33eb07a0f0ed,https://synthesia-ttv-data.s3.amazonaws.com/video_data/e6ba1d76-63e3-4869-a3f1-33eb07a0f0ed/transfers/rendered_video.gif,0:10,0:40,FALSE
Dashword,dashword.com,https://www.dashword.com,,61.0,4137,292,https://vimeo.com/773100060,found_on_page,es,https://share.synthesia.io/cc279d0f-2dac-4c36-8584-92e6f36326fd,https://synthesia-ttv-data.s3.amazonaws.com/video_data/cc279d0f-2dac-4c36-8584-92e6f36326fd/transfers/rendered_video.gif,0:00,0:30,FALSE
Issuetrak,issuetrak.com,https://www.issuetrak.com,CRM Software,61.0,915,137,https://www.youtube.com/watch?v=1nMDqMComf4,pre_detected,es,https://share.synthesia.io/0993e2bd-d1e9-4ff9-bab4-a04fb8f2d3b1,https://synthesia-ttv-data.s3.amazonaws.com/video_data/0993e2bd-d1e9-4ff9-bab4-a04fb8f2d3b1/transfers/rendered_video.gif,0:00,0:30,FALSE
Aurelius,tmssoftware.com,https://www.tmssoftware.com/site/videos.asp?p=aurelius&srsltid=AfmBOooTm7kToQuc0WezLZvqSwQJN_VVwnD4wLez0R9zv86f3adLxyN2,,60.0,4105,354,https://www.youtube.com/watch?v=yxzNoxhLXzk,pre_detected,es,https://share.synthesia.io/08c15c62-4612-4c0a-9bce-aa711d2d2470,https://synthesia-ttv-data.s3.amazonaws.com/video_data/08c15c62-4612-4c0a-9bce-aa711d2d2470/transfers/rendered_video.gif,0:06,0:36,FALSE
Brokermint,brokermint.com,https://www.brokermint.com,,60.0,17759,174,https://www.youtube.com/watch?v=vAAs3NhutKg,pre_detected,es,https://share.synthesia.io/980b4ea9-00ea-4a39-a6b3-e21df510b650,https://synthesia-ttv-data.s3.amazonaws.com/video_data/980b4ea9-00ea-4a39-a6b3-e21df510b650/transfers/rendered_video.gif,0:00,0:30,FALSE
ClockShark,clockshark.com,https://www.clockshark.com,,60.0,45492,2268,https://www.youtube.com/watch?v=AxZiL_nvSCU,pre_detected,es,https://share.synthesia.io/90b9bfaf-9460-400d-8c7b-418f67daca56,https://synthesia-ttv-data.s3.amazonaws.com/video_data/90b9bfaf-9460-400d-8c7b-418f67daca56/transfers/rendered_video.gif,0:00,0:30,FALSE
Gloo,gloo.com,https://www.gloo.com,,60.0,5589,254,https://www.youtube.com/watch?v=SqKgS5D1Wa0,pre_detected,es,https://share.synthesia.io/b13fe233-3973-49fe-86a7-5c86ff662ee2,https://synthesia-ttv-data.s3.amazonaws.com/video_data/b13fe233-3973-49fe-86a7-5c86ff662ee2/transfers/rendered_video.gif,0:00,0:30,FALSE
Bold BI,boldbi.com,https://www.boldbi.com,,59.0,4685,1160,https://www.youtube.com/watch?v=5muZGIuYctw,pre_detected,es,https://share.synthesia.io/8bd15365-6673-42d7-b758-67f16409f117,https://synthesia-ttv-data.s3.amazonaws.com/video_data/8bd15365-6673-42d7-b758-67f16409f117/transfers/rendered_video.gif,0:00,0:30,FALSE
Carrd,carrd.com,https://www.carrd.com,,59.0,31,1,https://www.youtube.com/watch?v=1PL6NntBaK4,pre_detected,es,https://share.synthesia.io/6a2e41ac-3436-40aa-85be-38e34abdd59f,https://synthesia-ttv-data.s3.amazonaws.com/video_data/6a2e41ac-3436-40aa-85be-38e34abdd59f/transfers/rendered_video.gif,0:00,0:30,FALSE
ContractPodAi,contractpodai.com,https://www.contractpodai.com,,58.0,2304,479,https://www.youtube.com/watch?v=RZsPI71E0GY,pre_detected,es,https://share.synthesia.io/b746c363-5680-4f6c-8a3c-c7aa5060e984,https://synthesia-ttv-data.s3.amazonaws.com/video_data/b746c363-5680-4f6c-8a3c-c7aa5060e984/transfers/rendered_video.gif,0:00,0:30,FALSE
CurrentWare,currentware.com,https://www.currentware.com,,58.0,4952,1588,https://www.youtube.com/watch?v=56oOvHSlnUo,pre_detected,es,https://share.synthesia.io/327b3115-0bef-4dba-b133-bdd37ae304f8,https://synthesia-ttv-data.s3.amazonaws.com/video_data/327b3115-0bef-4dba-b133-bdd37ae304f8/transfers/rendered_video.gif,0:00,0:30,FALSE
Ebsta,ebsta.com,https://www.ebsta.com,,58.0,523,62,https://www.youtube.com/watch?v=uL7K5wKx4Vc,pre_detected,es,https://share.synthesia.io/44f33efa-1664-4863-8f47-06d8e1bb6eb5,https://synthesia-ttv-data.s3.amazonaws.com/video_data/44f33efa-1664-4863-8f47-06d8e1bb6eb5/transfers/rendered_video.gif,0:04,0:36,FALSE
AccountEdge,accountedge.com,https://www.accountedge.com,,57.0,6649,844,https://www.youtube.com/watch?v=tCbSdkksJ_4,found_on_page,es,https://share.synthesia.io/4e1d4ef2-bb03-4db8-bd2c-932c0c183356,https://synthesia-ttv-data.s3.amazonaws.com/video_data/4e1d4ef2-bb03-4db8-bd2c-932c0c183356/transfers/rendered_video.gif,0:03,0:30,FALSE
Contractor Foreman,contractorforeman.com,https://www.contractorforeman.com,,57.0,17086,1235,https://www.youtube.com/watch?v=P6xIg34ASVM,pre_detected,es,https://share.synthesia.io/f578e186-bd98-470c-b5e5-ff73b6da8420,https://synthesia-ttv-data.s3.amazonaws.com/video_data/f578e186-bd98-470c-b5e5-ff73b6da8420/transfers/rendered_video.gif,0:00,0:30,FALSE
Evisort,evisort.com,https://www.evisort.com,,57.0,6200,521,https://www.youtube.com/watch?v=Kd3yhgAyQNg,pre_detected,es,https://share.synthesia.io/36a7fbaa-ea52-45fc-af0c-adf6b7edd935,https://synthesia-ttv-data.s3.amazonaws.com/video_data/36a7fbaa-ea52-45fc-af0c-adf6b7edd935/transfers/rendered_video.gif,0:07,0:30,FALSE
Hotelogix,hotelogix.com,https://www.hotelogix.com,,57.0,9832,933,https://www.youtube.com/watch?v=IKq_NbBO3Jw,pre_detected,es,https://share.synthesia.io/c35c4710-0685-488c-b510-536723ce5870,https://synthesia-ttv-data.s3.amazonaws.com/video_data/c35c4710-0685-488c-b510-536723ce5870/transfers/rendered_video.gif,0:00,0:30,FALSE
Botkeeper,botkeeper.com,https://www.botkeeper.com,,56.0,2793,861,https://www.youtube.com/watch?v=Q3qPyZDzvmY,pre_detected,es,https://share.synthesia.io/1518fefe-833f-4b20-9b0d-8878272b9acf,https://synthesia-ttv-data.s3.amazonaws.com/video_data/1518fefe-833f-4b20-9b0d-8878272b9acf/transfers/rendered_video.gif,0:00,0:30,FALSE
Cincom,cincom.com,https://www.cincom.com,,56.0,7067,1186,https://www.youtube.com/watch?v=ZIs7IATuxhQ,pre_detected,es,https://share.synthesia.io/3e66610b-277b-42e3-a812-b4da5c8c54fb,https://synthesia-ttv-data.s3.amazonaws.com/video_data/3e66610b-277b-42e3-a812-b4da5c8c54fb/transfers/rendered_video.gif,0:00,0:30,FALSE
GUIDEcx,guidecx.com,https://www.guidecx.com,,56.0,10800,251,https://www.youtube.com/watch?v=TE0dStiAJW8,pre_detected,es,https://share.synthesia.io/0af45d3a-794f-42ed-8721-3119b8d82280,https://synthesia-ttv-data.s3.amazonaws.com/video_data/0af45d3a-794f-42ed-8721-3119b8d82280/transfers/rendered_video.gif,0:00,0:30,FALSE
Influ2,influ2.com,https://www.influ2.com,,56.0,2841,217,https://www.youtube.com/watch?v=mshVZ4q1Y78,pre_detected,es,https://share.synthesia.io/cc337238-d0e5-4fcf-a33e-233a455f17b2,https://synthesia-ttv-data.s3.amazonaws.com/video_data/cc337238-d0e5-4fcf-a33e-233a455f17b2/transfers/rendered_video.gif,0:00,0:30,FALSE
Berrycast,berrycast.com,https://www.berrycast.com,,55.0,881,174,https://www.youtube.com/watch?v=f1w9aovcKdQ,pre_detected,es,https://share.synthesia.io/e089af17-ba12-40ee-9e66-b8f6380be704,https://synthesia-ttv-data.s3.amazonaws.com/video_data/e089af17-ba12-40ee-9e66-b8f6380be704/transfers/rendered_video.gif,0:00,0:30,FALSE
Function Point,functionpoint.com,https://www.functionpoint.com,,55.0,2520,308,https://www.youtube.com/watch?v=8wzuIgf9QNo,pre_detected,es,https://share.synthesia.io/f5920e8d-fd40-4f11-aa1f-e108729dc6ed,https://synthesia-ttv-data.s3.amazonaws.com/video_data/f5920e8d-fd40-4f11-aa1f-e108729dc6ed/transfers/rendered_video.gif,0:00,0:30,FALSE
AgWorld,agworld.com,https://www.agworld.com,,54.0,3004,62,https://www.youtube.com/watch?v=z19aly3H48c,pre_detected,es,https://share.synthesia.io/06574090-b189-4a5c-8ede-71536dfd89ab,https://synthesia-ttv-data.s3.amazonaws.com/video_data/06574090-b189-4a5c-8ede-71536dfd89ab/transfers/rendered_video.gif,0:00,0:30,FALSE
Genius ERP,geniuserp.com,https://www.geniuserp.com,,54.0,9802,1521,https://www.youtube.com/watch?v=JQudE-PH1Ow,pre_detected,es,https://share.synthesia.io/34150a60-e884-4b94-b119-55b7b0733912,https://synthesia-ttv-data.s3.amazonaws.com/video_data/34150a60-e884-4b94-b119-55b7b0733912/transfers/rendered_video.gif,0:00,0:30,FALSE
GoTab,gotab.com,https://www.gotab.com,,54.0,1676,490,https://vimeo.com/1115903616,found_on_page,es,https://share.synthesia.io/c65377ea-e2e6-476f-86fb-7cea8e633bc6,https://synthesia-ttv-data.s3.amazonaws.com/video_data/c65377ea-e2e6-476f-86fb-7cea8e633bc6/transfers/rendered_video.gif,0:00,0:30,FALSE
Jonas Fitness,jonasfitness.com,https://www.jonasfitness.com,,54.0,88,41,https://www.youtube.com/watch?v=dW001yeMDHA,pre_detected,es,https://share.synthesia.io/492ee4cc-b372-46c1-b543-accccc04f2d1,https://synthesia-ttv-data.s3.amazonaws.com/video_data/492ee4cc-b372-46c1-b543-accccc04f2d1/transfers/rendered_video.gif,0:00,0:30,FALSE
Ajera,ajera.com,https://www.ajera.com,,53.0,6248,47,https://www.youtube.com/watch?v=-qnB3vVpz2w&list=PLdEoltwSFlwkuNdEVzh28qyVVSKNajvfj&index=1,pre_detected,es,https://share.synthesia.io/ecd2e810-9c04-4964-b4f8-0aef19840499,https://synthesia-ttv-data.s3.amazonaws.com/video_data/ecd2e810-9c04-4964-b4f8-0aef19840499/transfers/rendered_video.gif,0:00,0:30,FALSE
