Company Name,Domain,Website,Category,Domain Rating,Organic Traffic,Organic Keywords,Selected Video URL,Video Source,Dubbed To,Synthesia Share Link,Synthesia GIF URL,Trim Start,Trim End,Outreached
Count,count.co,https://count.co/video/count-demo,,52.0,3935,650,https://fast.wistia.net/embed/iframe/piqce7u8nm,found_on_page,es,https://share.synthesia.io/efb1d214-2d6e-43a1-a194-cee3c9a938ad,https://synthesia-ttv-data.s3.amazonaws.com/video_data/efb1d214-2d6e-43a1-a194-cee3c9a938ad/transfers/rendered_video.gif,0:00,0:30,FALSE
Global Shop Solutions,globalshopsolutions.com,https://www.globalshopsolutions.com,,46.0,5393,467,https://www.youtube.com/c/GlobalShopSolutions/videos,pre_detected,es,https://share.synthesia.io/b44b05f9-9d83-49bb-b7fc-e67e9815dd5d,https://synthesia-ttv-data.s3.amazonaws.com/video_data/b44b05f9-9d83-49bb-b7fc-e67e9815dd5d/transfers/rendered_video.gif,0:00,0:30,FALSE
365villas,guestwisely.io,https://guestwisely.io,,45.0,366,71,https://www.youtube.com/watch?v=b9ico29pwOw,pre_detected,es,https://share.synthesia.io/c39f19a1-f183-4e1f-9910-424d4578ca06,https://synthesia-ttv-data.s3.amazonaws.com/video_data/c39f19a1-f183-4e1f-9910-424d4578ca06/transfers/rendered_video.gif,0:00,0:30,FALSE
4Degrees,4degrees.ai,https://www.4degrees.ai/blog/introducing-4degrees-campaigns,,45.0,6363,1023,https://www.youtube.com/watch?v=WsnDLqMyw7M,pre_detected,es,https://share.synthesia.io/11ad7583-1001-4a05-91ab-7eecb4732891,https://synthesia-ttv-data.s3.amazonaws.com/video_data/11ad7583-1001-4a05-91ab-7eecb4732891/transfers/rendered_video.gif,0:00,0:30,FALSE
Branch,quickfms.com,https://www.quickfms.com/branch-performance-tracking-module,,43.0,392,173,https://www.youtube.com/watch?v=KJifWHptkqU,found_on_page,es,https://share.synthesia.io/8db36da7-e03c-45a9-8f24-de0d5e9e15f8,https://synthesia-ttv-data.s3.amazonaws.com/video_data/8db36da7-e03c-45a9-8f24-de0d5e9e15f8/transfers/rendered_video.gif,0:00,0:30,FALSE
Clear Estimates,clearestimates.com,https://www.clearestimates.com,,43.0,4234,335,https://www.youtube.com/watch?v=E69WkWmApWM,pre_detected,es,https://share.synthesia.io/8ca43db2-4f1b-4aaa-bbbe-4ca6adbf77e4,https://synthesia-ttv-data.s3.amazonaws.com/video_data/8ca43db2-4f1b-4aaa-bbbe-4ca6adbf77e4/transfers/rendered_video.gif,0:00,0:30,FALSE
Cetec ERP,cetecerp.com,https://www.cetecerp.com,,35.0,1527,278,https://www.youtube.com/watch?v=WCNnmyNyCiI,pre_detected,es,https://share.synthesia.io/e5810a0c-1e1b-4813-976a-532b644e5572,https://synthesia-ttv-data.s3.amazonaws.com/video_data/e5810a0c-1e1b-4813-976a-532b644e5572/transfers/rendered_video.gif,0:00,0:30,FALSE
CosmoLex,cosmolex.ca,https://www.cosmolex.ca/on-demand-demo/,,33.0,5905,211,https://fast.wistia.net/embed/iframe/0orhc62eog,found_on_page,es,https://share.synthesia.io/5b62ce46-afcf-4d70-acb5-28cdf0ceb9fc,https://synthesia-ttv-data.s3.amazonaws.com/video_data/5b62ce46-afcf-4d70-acb5-28cdf0ceb9fc/transfers/rendered_video.gif,0:00,0:30,FALSE
BST Global,bstglobal.com,https://www.bstglobal.com,,32.0,1312,105,https://www.youtube.com/watch?v=jBRr_T_HAZ4,pre_detected,es,https://share.synthesia.io/7d7cf0b7-b6af-4dfb-9438-8e9058bb8bfe,https://synthesia-ttv-data.s3.amazonaws.com/video_data/7d7cf0b7-b6af-4dfb-9438-8e9058bb8bfe/transfers/rendered_video.gif,0:00,0:30,FALSE
Avail,avail.com,https://www.avail.com,,27.0,1026,3,https://www.youtube.com/watch?v=lH-rTM20g88,pre_detected,es,https://share.synthesia.io/0ec375f0-b11a-4a0f-9401-b00b505caffb,https://synthesia-ttv-data.s3.amazonaws.com/video_data/0ec375f0-b11a-4a0f-9401-b00b505caffb/transfers/rendered_video.gif,0:00,0:30,FALSE
Dave,buildwithdave.com,https://www.buildwithdave.com/book-demo,,27.0,170,121,https://www.youtube.com/watch?v=bvJ45B8fXZU,found_on_page,es,https://share.synthesia.io/0afd2f27-a517-4ca1-84fd-9189dcb86fc5,https://synthesia-ttv-data.s3.amazonaws.com/video_data/0afd2f27-a517-4ca1-84fd-9189dcb86fc5/transfers/rendered_video.gif,0:00,0:30,FALSE
Harvest Profit,harvestprofit.com,https://www.harvestprofit.com,,27.0,312,65,https://www.youtube.com/watch?v=QyVKGk5EOZo,pre_detected,es,https://share.synthesia.io/85f9f21e-b61f-4e8c-ad02-6f7c41fc20e9,https://synthesia-ttv-data.s3.amazonaws.com/video_data/85f9f21e-b61f-4e8c-ad02-6f7c41fc20e9/transfers/rendered_video.gif,0:00,0:30,FALSE
