Company Name,Domain,Website,Category,Domain Rating,Organic Traffic,Organic Keywords,YouTube Channel,Selected Video URL,Video Source,Page URL,Trim Start,Trim End,Dubbed To,Synthesia Share Link,Synthesia GIF URL,Outreach Status,Matched Customer,Customer Lifecycle,Match Type
Emplifi,emplifi.io,https://emplifi.io/,,84.0,32974,6191,,https://www.youtube.com/watch?v=sEkEv0zL1Do,pre_detected,,0:05,0:35,es,https://share.synthesia.io/25560d6a-b6ae-407f-a944-30affcd9ecaf,https://synthesia-ttv-data.s3.amazonaws.com/video_data/25560d6a-b6ae-407f-a944-30affcd9ecaf/transfers/rendered_video.gif,SAFE,,,
3dcart (Shift4Shop),shift4shop.com,https://www.shift4shop.com/,,84.0,16702,4973,https://www.youtube.com/@shift4shop,https://www.youtube.com/watch?v=iUZaFRiLzk8,youtube_channel,,0:00,0:30,es,https://share.synthesia.io/ddeea831-6153-49b8-a923-ce420461b2b6,https://synthesia-ttv-data.s3.amazonaws.com/video_data/ddeea831-6153-49b8-a923-ce420461b2b6/transfers/rendered_video.gif,SAFE,,,
17hats,17hats.com,https://www.17hats.com,,83.0,8456,377,https://www.youtube.com/@17hatshq,https://www.youtube.com/watch?v=zLa2XORpqmQ,youtube_channel,,0:02,0:30,es,https://share.synthesia.io/09dba7a1-0e36-4b2c-b72e-f75de949252d,https://synthesia-ttv-data.s3.amazonaws.com/video_data/09dba7a1-0e36-4b2c-b72e-f75de949252d/transfers/rendered_video.gif,SAFE,,,
Acquia (Drupal Cloud),acquia.com,https://www.acquia.com/,,82.0,50635,5958,https://www.youtube.com/@acquiatv,https://www.youtube.com/watch?v=LFou44-ZUuI,youtube_channel,,0:00,0:30,es,https://share.synthesia.io/f917a1e3-ece7-4a2d-9c58-2500b2583f87,https://synthesia-ttv-data.s3.amazonaws.com/video_data/f917a1e3-ece7-4a2d-9c58-2500b2583f87/transfers/rendered_video.gif,SAFE,,,
6sense,6sense.com,https://www.6sense.com,,81.0,52907,10817,https://www.youtube.com/@6sense,https://www.youtube.com/watch?v=TNAkiQP8nNs,youtube_channel,,0:00,0:26,es,https://share.synthesia.io/578a9b44-43de-441e-a0f5-fb9e20d5d130,https://synthesia-ttv-data.s3.amazonaws.com/video_data/578a9b44-43de-441e-a0f5-fb9e20d5d130/transfers/rendered_video.gif,SAFE,,,
Accelevents,accelevents.com,https://www.accelevents.com,,77.0,2744,1005,https://www.youtube.com/@accelevents,https://www.youtube.com/watch?v=j6Lu-OJELx8,youtube_channel,,0:09,0:39,es,https://share.synthesia.io/af93c109-fd39-4f23-ae2d-328bb5f3e5cc,https://synthesia-ttv-data.s3.amazonaws.com/video_data/af93c109-fd39-4f23-ae2d-328bb5f3e5cc/transfers/rendered_video.gif,SAFE,,,
7shifts,7shifts.com,https://www.7shifts.com,,76.0,143958,9384,https://www.youtube.com/@7shiftsinc,https://www.youtube.com/watch?v=A9IYrVKTKHI,pre_detected,,0:00,0:30,es,https://share.synthesia.io/d761751f-d26e-49c4-a07c-31be74f4c7db,https://synthesia-ttv-data.s3.amazonaws.com/video_data/d761751f-d26e-49c4-a07c-31be74f4c7db/transfers/rendered_video.gif,SAFE,,,
AI21 Labs,ai21.com,https://www.ai21.com/,,74.0,23437,1738,https://www.youtube.com/@ai21labs,https://www.youtube.com/watch?v=Br4ZwrZ0GZQ,youtube_channel,,0:00,0:30,es,https://share.synthesia.io/927a5559-c7a0-4604-9bdd-49221735211a,https://synthesia-ttv-data.s3.amazonaws.com/video_data/927a5559-c7a0-4604-9bdd-49221735211a/transfers/rendered_video.gif,SAFE,,,
Accelo,accelo.com,https://www.accelo.com,,73.0,12435,1765,https://www.youtube.com/@acceloinc,https://www.youtube.com/watch?v=wJxclza9P6I,youtube_channel,,0:05,0:35,es,https://share.synthesia.io/c4cff9fd-84a2-41de-ab89-21ac1d647ae5,https://synthesia-ttv-data.s3.amazonaws.com/video_data/c4cff9fd-84a2-41de-ab89-21ac1d647ae5/transfers/rendered_video.gif,SAFE,,,
ABC Fitness (ABC Financial),abcfitness.com,https://abcfitness.com/,,73.0,12642,2061,https://www.youtube.com/@abc-fitness,https://www.youtube.com/watch?v=Dd2DnPNhUx0,pre_detected,,0:08,0:38,es,https://share.synthesia.io/72510655-fbf5-4c08-bcff-3cc628c7185f,https://synthesia-ttv-data.s3.amazonaws.com/video_data/72510655-fbf5-4c08-bcff-3cc628c7185f/transfers/rendered_video.gif,SAFE,,,
