Company Name,Domain,Website,Synthesia Share Link,Synthesia GIF URL
Matomo,matomo.com,https://www.matomo.com,https://share.synthesia.io/eeae7c58-ee07-4955-ab40-091be56abda6,https://synthesia-ttv-data.s3.amazonaws.com/video_data/eeae7c58-ee07-4955-ab40-091be56abda6/transfers/rendered_video.gif
Mediafly,mediafly.com,https://www.mediafly.com,https://share.synthesia.io/4829a3d9-4396-4da6-9c5a-d3866e101462,https://synthesia-ttv-data.s3.amazonaws.com/video_data/4829a3d9-4396-4da6-9c5a-d3866e101462/transfers/rendered_video.gif
Multiview,multiview.com,https://www.multiview.com,https://share.synthesia.io/32cbf55c-94e0-44b5-934a-175478be329b,https://synthesia-ttv-data.s3.amazonaws.com/video_data/32cbf55c-94e0-44b5-934a-175478be329b/transfers/rendered_video.gif
Mux,mux.com,https://www.mux.com,https://share.synthesia.io/abd02506-fd89-4ad3-93b7-c62b41aa2ddf,https://synthesia-ttv-data.s3.amazonaws.com/video_data/abd02506-fd89-4ad3-93b7-c62b41aa2ddf/transfers/rendered_video.gif
My PT Hub,mypthub.com,https://www.mypthub.com,https://share.synthesia.io/5b501f81-57ef-4caa-aa2c-1c615673cfd0,https://synthesia-ttv-data.s3.amazonaws.com/video_data/5b501f81-57ef-4caa-aa2c-1c615673cfd0/transfers/rendered_video.gif
Mytonomy,mytonomy.com,https://www.mytonomy.com,https://share.synthesia.io/184ce47d-b029-4452-a079-f66d4722ec76,https://synthesia-ttv-data.s3.amazonaws.com/video_data/184ce47d-b029-4452-a079-f66d4722ec76/transfers/rendered_video.gif
Namely,namely.com,https://www.namely.com,https://share.synthesia.io/b219e3bd-1f44-4f80-bd5e-bb9ddbd612b0,https://synthesia-ttv-data.s3.amazonaws.com/video_data/b219e3bd-1f44-4f80-bd5e-bb9ddbd612b0/transfers/rendered_video.gif
Nasuni,nasuni.com,https://www.nasuni.com,https://share.synthesia.io/d143051c-9cff-40e5-8b3b-4c9ec244bbc9,https://synthesia-ttv-data.s3.amazonaws.com/video_data/d143051c-9cff-40e5-8b3b-4c9ec244bbc9/transfers/rendered_video.gif
Nectar HR,nectarhr.com,https://www.nectarhr.com,https://share.synthesia.io/05b29724-15f7-4666-9ec0-2d653e8cc872,https://synthesia-ttv-data.s3.amazonaws.com/video_data/05b29724-15f7-4666-9ec0-2d653e8cc872/transfers/rendered_video.gif
Needles,needles.com,https://www.needles.com,https://share.synthesia.io/a7f97cd8-2667-4bd9-9711-a2da0b1f8519,https://synthesia-ttv-data.s3.amazonaws.com/video_data/a7f97cd8-2667-4bd9-9711-a2da0b1f8519/transfers/rendered_video.gif
Neon,neon.com,https://www.neon.com,https://share.synthesia.io/dbcfc364-9900-40a4-aa8d-964c2b128af7,https://synthesia-ttv-data.s3.amazonaws.com/video_data/dbcfc364-9900-40a4-aa8d-964c2b128af7/transfers/rendered_video.gif
Netlify,netlify.com,https://www.netlify.com,https://share.synthesia.io/31cacd3f-ef94-4183-a53d-ccf49eec6c0e,https://synthesia-ttv-data.s3.amazonaws.com/video_data/31cacd3f-ef94-4183-a53d-ccf49eec6c0e/transfers/rendered_video.gif
Next Insurance,nextinsurance.com,https://www.nextinsurance.com,https://share.synthesia.io/6bf8ff41-2647-47db-8d2b-3e6667f4d1c3,https://synthesia-ttv-data.s3.amazonaws.com/video_data/6bf8ff41-2647-47db-8d2b-3e6667f4d1c3/transfers/rendered_video.gif
NinjaOne,ninjaone.com,https://www.ninjaone.com,https://share.synthesia.io/9f5d9ab0-be01-46ae-a2e7-68eb56329cc8,https://synthesia-ttv-data.s3.amazonaws.com/video_data/9f5d9ab0-be01-46ae-a2e7-68eb56329cc8/transfers/rendered_video.gif
NordPass,nordpass.com,https://www.nordpass.com,https://share.synthesia.io/88f9ca39-001d-443d-9e76-c0758d7459ac,https://synthesia-ttv-data.s3.amazonaws.com/video_data/88f9ca39-001d-443d-9e76-c0758d7459ac/transfers/rendered_video.gif
NoxInfluencer,noxinfluencer.com,https://www.noxinfluencer.com,https://share.synthesia.io/ffe09298-b041-427e-b859-08ed1d3debc5,https://synthesia-ttv-data.s3.amazonaws.com/video_data/ffe09298-b041-427e-b859-08ed1d3debc5/transfers/rendered_video.gif
Nudge Security,nudgesecurity.com,https://www.nudgesecurity.com,https://share.synthesia.io/42e7da37-9fff-4aa3-af1a-e4598fc8c40c,https://synthesia-ttv-data.s3.amazonaws.com/video_data/42e7da37-9fff-4aa3-af1a-e4598fc8c40c/transfers/rendered_video.gif
Nulogy,nulogy.com,https://www.nulogy.com,https://share.synthesia.io/73a33f66-2db7-4f69-becc-6444fe4e6e80,https://synthesia-ttv-data.s3.amazonaws.com/video_data/73a33f66-2db7-4f69-becc-6444fe4e6e80/transfers/rendered_video.gif
Nurx,nurx.com,https://www.nurx.com,https://share.synthesia.io/a33e4bb5-6c75-409f-8e0a-c98f08efa93b,https://synthesia-ttv-data.s3.amazonaws.com/video_data/a33e4bb5-6c75-409f-8e0a-c98f08efa93b/transfers/rendered_video.gif
Nylas,nylas.com,https://www.nylas.com,https://share.synthesia.io/f0ec70b4-a343-4a68-b85c-0c7ea82fcce2,https://synthesia-ttv-data.s3.amazonaws.com/video_data/f0ec70b4-a343-4a68-b85c-0c7ea82fcce2/transfers/rendered_video.gif
Octopus Deploy,octopusdeploy.com,https://www.octopusdeploy.com,https://share.synthesia.io/992c9c54-001a-4970-abb0-bff719b5eb91,https://synthesia-ttv-data.s3.amazonaws.com/video_data/992c9c54-001a-4970-abb0-bff719b5eb91/transfers/rendered_video.gif
Omnisend,omnisend.com,https://www.omnisend.com,https://share.synthesia.io/43cadf91-fe3a-45b3-83c9-36860e96b359,https://synthesia-ttv-data.s3.amazonaws.com/video_data/43cadf91-fe3a-45b3-83c9-36860e96b359/transfers/rendered_video.gif
One Click LCA,oneclicklca.com,https://www.oneclicklca.com,https://share.synthesia.io/9ae7fea8-9e42-42b1-b023-78cbf33952c0,https://synthesia-ttv-data.s3.amazonaws.com/video_data/9ae7fea8-9e42-42b1-b023-78cbf33952c0/transfers/rendered_video.gif
OneSignal,onesignal.com,https://www.onesignal.com,https://share.synthesia.io/4d0cdbe6-6d78-4c58-9be6-4c248ecb99eb,https://synthesia-ttv-data.s3.amazonaws.com/video_data/4d0cdbe6-6d78-4c58-9be6-4c248ecb99eb/transfers/rendered_video.gif
OneTrust,onetrust.com,https://www.onetrust.com,https://share.synthesia.io/dc34d891-cc46-4be7-9c5f-febf6047700d,https://synthesia-ttv-data.s3.amazonaws.com/video_data/dc34d891-cc46-4be7-9c5f-febf6047700d/transfers/rendered_video.gif
OpenBOM,openbom.com,https://www.openbom.com,https://share.synthesia.io/ef497048-95b6-4fee-8625-4ff308f5653c,https://synthesia-ttv-data.s3.amazonaws.com/video_data/ef497048-95b6-4fee-8625-4ff308f5653c/transfers/rendered_video.gif
OpenProject,openproject.com,https://www.openproject.com,https://share.synthesia.io/9c98f56d-6e19-4fa2-a22b-85ea94042d2a,https://synthesia-ttv-data.s3.amazonaws.com/video_data/9c98f56d-6e19-4fa2-a22b-85ea94042d2a/transfers/rendered_video.gif
Optimizely,optimizely.com,https://www.optimizely.com,https://share.synthesia.io/0ae0841f-e41b-4585-8ae0-74aa8c39406c,https://synthesia-ttv-data.s3.amazonaws.com/video_data/0ae0841f-e41b-4585-8ae0-74aa8c39406c/transfers/rendered_video.gif
Orange Theory,orangetheory.com,https://www.orangetheory.com,https://share.synthesia.io/a2b432e5-9277-4ace-b6b1-4c86a74bd501,https://synthesia-ttv-data.s3.amazonaws.com/video_data/a2b432e5-9277-4ace-b6b1-4c86a74bd501/transfers/rendered_video.gif
Ordoro,ordoro.com,https://www.ordoro.com,https://share.synthesia.io/87381f01-efe5-4f77-a577-54a3229d6e96,https://synthesia-ttv-data.s3.amazonaws.com/video_data/87381f01-efe5-4f77-a577-54a3229d6e96/transfers/rendered_video.gif
OwnerRez,ownerrez.com,https://www.ownerrez.com,https://share.synthesia.io/63a5c8e5-957d-4a96-a991-ef4386e3c9fc,https://synthesia-ttv-data.s3.amazonaws.com/video_data/63a5c8e5-957d-4a96-a991-ef4386e3c9fc/transfers/rendered_video.gif
Oyster HR,oysterhr.com,https://www.oysterhr.com,https://share.synthesia.io/acebe13e-949c-4e54-8f55-f5af55e5eccf,https://synthesia-ttv-data.s3.amazonaws.com/video_data/acebe13e-949c-4e54-8f55-f5af55e5eccf/transfers/rendered_video.gif
PROS,pros.com,https://www.pros.com,https://share.synthesia.io/04bac2a0-1f10-4da9-a935-7997b83ea29e,https://synthesia-ttv-data.s3.amazonaws.com/video_data/04bac2a0-1f10-4da9-a935-7997b83ea29e/transfers/rendered_video.gif
Paddle,paddle.com,https://www.paddle.com,https://share.synthesia.io/33d6ebd3-ce6e-41d6-a62f-59c02f375723,https://synthesia-ttv-data.s3.amazonaws.com/video_data/33d6ebd3-ce6e-41d6-a62f-59c02f375723/transfers/rendered_video.gif
PandaDoc,pandadoc.com,https://www.pandadoc.com,https://share.synthesia.io/7d5e7389-0a9f-4023-afbd-a169212c87d8,https://synthesia-ttv-data.s3.amazonaws.com/video_data/7d5e7389-0a9f-4023-afbd-a169212c87d8/transfers/rendered_video.gif
Papaya Global,papayaglobal.com,https://www.papayaglobal.com,https://share.synthesia.io/227ad058-58cc-4c72-8b88-9b332f258387,https://synthesia-ttv-data.s3.amazonaws.com/video_data/227ad058-58cc-4c72-8b88-9b332f258387/transfers/rendered_video.gif
