Outreach Status,Block Reason,Matched Customer,Customer Lifecycle,Match Type,Company Name,Domain,Website URL,Category,Domain Rating,Organic Traffic,Organic Keywords,Discovery Method,Has YouTube Channel,YouTube Channel URL,YouTube Subscribers,Has Website Videos,Total Videos Found,Video 1 URL,Video 1 Type,Video 1 Title,Video 2 URL,Video 2 Type,Video 2 Title,Video 3 URL,Video 3 Type,Video 3 Title,Video 4 URL,Video 4 Type,Video 4 Title,Video 5 URL,Video 5 Type,Video 5 Title,Video 6 URL,Video 6 Type,Video 6 Title,Video 7 URL,Video 7 Type,Video 7 Title,Video 8 URL,Video 8 Type,Video 8 Title,Video 9 URL,Video 9 Type,Video 9 Title,Video 10 URL,Video 10 Type,Video 10 Title
SAFE,,,,,ACH.com,achcom.com,https://www.achcom.com,,,,,YouTube API,Yes,https://www.youtube.com/@ach2147,388,No,4,https://www.youtube.com/watch?v=1Wx2zCfv77w,youtube_channel,ACH - Beli Yssir ( officiel audio ),https://www.youtube.com/watch?v=1py1bUFu-Nk,youtube_channel,ACH - THUNDER (Official Music Audio),https://www.youtube.com/watch?v=YjaozYgUZek,youtube_channel,ACH - Mouch Normal (Official Audio),https://www.youtube.com/watch?v=cdQWa_Smxo4,youtube_channel,ACH - manansech (audio),,,,,,,,,,,,,,,,,,
BLOCKED,"AWS product, Amazon is a Customer",Amazon,Customer,AI_PARENT_SUBSIDIARY,AWS API Gateway,awsapigateway.com,https://www.awsapigateway.com,,,,,Website Video Scrape,No,,,Yes,4,https://www.youtube.com/watch?v=pRp-X4yYz8k,youtube_embed,AWS API Gateway - YouTube,https://www.youtube.com/watch?v=qnVfWG8N7Fw,youtube_embed,How to Create REST API With API Gateway | AWS Training - YouTube,https://www.youtube.com/watch?v=ad2md33t1U0,youtube_embed,An Introduction to AWS API Gateway with AWS Lambda (.NET Core ...,https://www.youtube.com/watch?v=oFSU6rhFETk,youtube_embed,Secure your API Gateway with Amazon Cognito User Pools - YouTube,,,,,,,,,,,,,,,,,,
BLOCKED,"AWS product, Amazon is a Customer",Amazon,Customer,AI_PARENT_SUBSIDIARY,AWS CDK,awscdk.com,https://www.awscdk.com,,,,,YouTube API,Yes,https://www.youtube.com/@deconstructingawscdkpatterns,1270,No,5,https://www.youtube.com/watch?v=FgP6zetWSXY,youtube_channel,Deconstructing &quot;The Predictive Lambda&quot; Serverless Architecture Pattern,https://www.youtube.com/watch?v=3mm4zH6KHkM,youtube_channel,The CDK Patterns Story - 9 months on,https://www.youtube.com/watch?v=kRI7QJfGBI8,youtube_channel,Deconstructing &quot;The Scalable Webhook&quot; AWS Serverless Architecture Pattern,https://www.youtube.com/watch?v=1nJNx6_KSRU,youtube_channel,Deconstructing &quot;The Saga Stepfunction&quot; AWS Serverless Architecture Pattern,https://www.youtube.com/watch?v=8kg5bYsdem4,youtube_channel,Deconstructing &quot;The EventBridge ETL&quot; AWS Serverless Architecture Pattern,,,,,,,,,,,,,,,
BLOCKED,"Same company, rebranded domain",Abnormal Security,Customer,AI_PARENT_SUBSIDIARY,Abnormal AI,abnormalai.com,https://www.abnormalai.com,,,,,YouTube API,Yes,https://www.youtube.com/@abnormal_ai,731,No,5,https://www.youtube.com/watch?v=pVTB1z-29NM,youtube_channel,The Complexity Problem - M365 Misconfigurations,https://www.youtube.com/watch?v=aGgeqrd-KAo,youtube_channel,Why Modern Phishing Doesn’t Look Suspicious,https://www.youtube.com/watch?v=XJkY8pduvPE,youtube_channel,How AI is Transforming SOC Analyst Work,https://www.youtube.com/watch?v=qZzP7kH1PwU,youtube_channel,How AI is Changing Identity Attacks,https://www.youtube.com/watch?v=SjVWIsF_j34,youtube_channel,Why Mid Market Needs New Email Security Approach,,,,,,,,,,,,,,,
BLOCKED,Airtable product — check if Airtable is blocked,Airtable,Prospect,AI_PARENT_SUBSIDIARY,Airtable Forms,airtableforms.com,https://www.airtableforms.com,,,,,Website Video Scrape,No,,,Yes,5,https://www.youtube.com/watch?v=7jSlG9Q33Rw,youtube_embed,The Complete Airtable Forms Tutorial (Beginner to Advanced),https://www.youtube.com/watch?v=vgRlFUv5nQI,youtube_embed,Build a Form (Airtable Tutorial) - YouTube,https://www.youtube.com/watch?v=Hq3rQpodt58,youtube_embed,Airtable - Full Course for Beginners - YouTube,https://www.youtube.com/watch?v=1iz_LybXWto,youtube_embed,Airtable Tutorial for Beginners [2023] - YouTube,https://www.youtube.com/watch?v=KX5KRUxUwJY,youtube_embed,Calculations in Fillout Forms to Airtable - YouTube,,,,,,,,,,,,,,,
SAFE,,,,,AllSeated (Prismm),allseatedprismm.com,https://www.allseatedprismm.com,,,,,Website Video Scrape,No,,,Yes,1,https://www.youtube.com/watch?v=RaYXG8KPvOc,youtube_embed,Prismm for Planners - YouTube,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFE,,,,,Announcekit,announcekit.com,https://www.announcekit.com,,,,,Website Video Scrape,No,,,Yes,3,https://www.youtube.com/shorts/uas_bQpstog,youtube_embed,Product Demo Video For Announcekit. #videoproduction - YouTube,https://www.youtube.com/watch?v=7dtfmB_QKL8,youtube_embed,SaaS Explainer Video for AnnounceKit - YouTube,https://vimeo.com/932862035,vimeo,SaaS Product Explainer Video for SocialHP What a Story.mp4 on ...,,,,,,,,,,,,,,,,,,,,,
BLOCKED,Asana product — check if Asana is blocked,Asana,Prospect,AI_PARENT_SUBSIDIARY,Asana Rules,asanarules.com,https://www.asanarules.com,,,,,Website Video Scrape,No,,,Yes,5,https://www.youtube.com/watch?v=yBpZX8x0xOk,youtube_embed,How To Run Asana Rules [2025 Full Guide] - YouTube,https://www.youtube.com/watch?v=UYP6LOGE_Ac,youtube_embed,My FAVE Trick to Save Time (Automate in Asana) - YouTube,https://www.youtube.com/watch?v=Y60z2eH33LY,youtube_embed,How to Use Asana Rule Variables to Automate Your Workflows,https://www.youtube.com/playlist?list=PLKY4QJ0NBZbE48Fykb5EFxN09RqD7K1eq,youtube_embed,Advanced Asana Training - YouTube,https://www.youtube.com/watch?v=8toakjUBdMM,youtube_embed,How to use Asana's new AI features - YouTube,,,,,,,,,,,,,,,
SAFE,,,,,Bookkeeper360,thebeautyroom.uk,https://www.thebeautyroom.uk/bookkeeper360-review-for-november-2023-best/,,,,,Website Video Scrape,No,,,Yes,2,https://www.youtube.com/watch?v=Q_yeD655NoQ,youtube_embed,How to Choose the Best E-Commerce Bookkeeping Software for ...,https://www.youtube.com/watch?v=Z7tSugiImdw,youtube_embed,How to Integrate Gusto with Xero | Small Business Payroll - YouTube,,,,,,,,,,,,,,,,,,,,,,,,
SAFE,,,,,Botsociety,botsociety.com,https://www.botsociety.com,,,,,Website Video Scrape,No,,,Yes,5,https://www.youtube.com/watch?v=TU69zT3eddI,youtube_embed,How To Create a Chatbot Demo Video with Botsociety - YouTube,https://www.youtube.com/watch?v=S6FbDX7Wpx8,youtube_embed,How to create your first Slack bot (Botsociety Tutorial) - YouTube,https://www.youtube.com/playlist?list=PLzF5qXC_HKG0LIJS21eBzZqMOjWbz9iOY,youtube_embed,Botsociety Tutorials - YouTube,https://www.youtube.com/watch?v=yTXBal3xWok,youtube_embed,How to add messages with buttons (Botsociety Tutorial) - YouTube,https://www.youtube.com/watch?v=N3RXaDc0ld0,youtube_embed,basic intents with parameters and slot filling (Botsociety Tutorial),,,,,,,,,,,,,,,
