Company Name,Domain,Website URL,Category,Domain Rating,Organic Traffic,Organic Keywords,Discovery Method,Has YouTube Channel,YouTube Channel URL,YouTube Subscribers,Has Website Videos,Total Videos Found,Video 1 URL,Video 1 Type,Video 1 Title,Video 2 URL,Video 2 Type,Video 2 Title,Video 3 URL,Video 3 Type,Video 3 Title,Video 4 URL,Video 4 Type,Video 4 Title,Video 5 URL,Video 5 Type,Video 5 Title,Video 6 URL,Video 6 Type,Video 6 Title,Video 7 URL,Video 7 Type,Video 7 Title,Video 8 URL,Video 8 Type,Video 8 Title,Video 9 URL,Video 9 Type,Video 9 Title,Video 10 URL,Video 10 Type,Video 10 Title
Airgram,tiktok.com,https://www.tiktok.com/@kohisocial/video/7280134542332136709,,97.0,349312899,38161087,Website Video Scrape,No,,,Yes,26,https://www.tiktok.com/@kohisocial/video/7280134542332136709,unknown,Transform Meeting Efficiency with Airgram Tool - TikTok,https://www.youtube.com/watch?v=SvyTkCegjVs,youtube_embed,7 Best AI Meeting Assistant & Note Taking Tools 2024 (Full Demo),https://www.tiktok.com/@silver_glo_/video/7296202601668922667,unknown,"If you're looking for a startup job, Wellfound is a site that can help...",https://www.youtube.com/watch?v=xBPbGUP-5lA,youtube_embed,Intro to Booksy - YouTube,https://www.tiktok.com/@jorges_fades/video/7258352980439682347,unknown,Transform Your Barber Business with Booksy App - TikTok,https://www.youtube.com/watch?v=dl5fJHq3KK0,youtube_embed,Getting Started with the CommonLit 360 Curriculum (Grades 6-10),https://www.youtube.com/watch?v=VKmjBxXl1-E,youtube_embed,Introduction to CommonLit 360: Full-Year ELA Curriculum - YouTube,https://www.youtube.com/watch?v=G5Hgr26dfhk,youtube_embed,CommonLit New Features: A Tutorial - YouTube,https://www.youtube.com/watch?v=U2QhriKdons,youtube_embed,Commonlit How to! - YouTube,https://www.tiktok.com/@havingagoodyear/video/7274280141226773803,unknown,Discover CommonLit: Your Ultimate Resource for ELA Teachers!
AWS,aws.amazon.com,https://aws.amazon.com/,,96.0,13849029,340283,YouTube API + Website Scrape,Yes,https://www.youtube.com/@awsdevelopers,1720000,Yes,18,https://www.youtube.com/watch?v=piDqgB0a0OU,youtube_channel,Create AI Apps in Under 5 Minutes with Amazon Bedrock and Vercel,https://www.youtube.com/watch?v=kZ0Zeqh43Qw,youtube_channel,60-Minute AI Coding Challenge: Building a Pictionary Game with Amazon Q Developer &amp; Amazon Nova,https://www.youtube.com/watch?v=yFnKsh8yxA4,youtube_channel,Amazon EKS Auto Mode: Deploying AI Agents with Kubernetes,https://www.youtube.com/watch?v=dKJ8v4wpYxk,youtube_channel,"AWS MCP Servers Tutorial: How Game Developers Can Use Amazon Q with Blender, Unity &amp; Perforce",https://www.youtube.com/watch?v=rVxLP-ZRY0g,youtube_channel,Run Java / Spring AI Agents on AgentCore,https://www.youtube.com/playlist?list=PLAMHV77MSKJ7s4jE7F_k_Od8qZlFGf1BY,youtube_embed,Conversational AI and Chatbot (Amazon Lex Tutorial) - YouTube,https://www.youtube.com/watch?v=l4SO7Z063no,youtube_embed,Amazon Lex Virtual Assistant Demo - VoiceWorx - YouTube,https://www.youtube.com/watch?v=QEqZILuy8q8,youtube_embed,How to integrate Amazon Lex and Knowledge bases for ... - YouTube,https://www.youtube.com/watch?v=xhmc87tfIZA,youtube_embed,AWS Lex Series (PART #5) | Set Up Multiple Slots in a Lex Chatbot,https://aws.amazon.com/tr/video/watch/465f3b484b3/,unknown,Amazon Lex Bot Templates Overview - AWS
Adobe,business.adobe.com,https://business.adobe.com/resources/demos-videos.html,,96.0,1239961,62262,Website Video Scrape,No,,,Yes,9,https://business.adobe.com/resources/demos-videos.html,unknown,Adobe Demos and Video Resources,https://www.youtube.com/watch?v=D5k5udtbz2Q,youtube_embed,All-New Adobe Captivate - Demo Simulations - YouTube,https://elearning.adobe.com/category/screen-capture/video-demo/,unknown,Video demo Archives - Adobe eLearning,https://www.youtube.com/watch?v=NL4xIYptCzE,youtube_embed,Adobe Creative Cloud Demo And Review - YouTube,https://www.youtube.com/watch?v=ZjDtw29vl1Y&vl=en,youtube_embed,How to Create Video Demos in Adobe Captivate - YouTube,https://business.adobe.com/resources/demo/aem-sites.html,unknown,Adobe Experience Manager demo,https://www.youtube.com/watch?v=kSHLbWIOE2Y,youtube_embed,Adobe Experience Manager Explained | AEM CMS Demo and ...,https://www.youtube.com/watch?v=vXN9tFpMP-I,youtube_embed,Introduction to Adobe Experience Manager CMS | CloudFoundation,https://business.adobe.com/resources/demo/adobe-experience-manager-guides-product-tour.html,unknown,Adobe Experience Manager Guides Demo,,,
Adobe Acrobat,adobe.com,https://www.adobe.com/learn/acrobat,,96.0,132750740,4265890,Website Video Scrape,No,,,Yes,4,https://www.youtube.com/adobeacrobat,youtube_embed,Adobe Acrobat - YouTube,https://www.youtube.com/watch?v=Q9nZIYWrMJI,youtube_embed,Master Adobe Acrobat Pro: A Complete Tutorial for Beginners 2025,https://www.youtube.com/watch?v=5M1a7zY5iVM,youtube_embed,Introducing the all-new Adobe Acrobat Studio. - YouTube,https://www.youtube.com/watch?v=aSigc4hDSxE,youtube_embed,The New Adobe Acrobat Reader AI Assistant Demo - YouTube,,,,,,,,,,,,,,,,,,
Adobe Sign,helpx.adobe.com,https://helpx.adobe.com/ca/sign/using/video/how-to-create-an-easy-to-follow-send-experience-in-adobe-sign-using-workflows.html,,96.0,3124249,194812,Website Video Scrape,No,,,Yes,9,https://www.youtube.com/watch?v=ePb5AXUVE1Y,youtube_embed,Adobe Sign Tutorial - eSignature Tool For Business (2023) - YouTube,https://www.youtube.com/watch?v=BfRGnIMfBbU,youtube_embed,Collecting eSignatures with Adobe Acrobat Sign - Demo - YouTube,https://www.youtube.com/playlist?list=PLaGRwR1U7ndCu3kMNg6y_rRV1rVpqJaN-,youtube_embed,Adobe Sign Tutorials | Adobe Acrobat - YouTube,https://helpx.adobe.com/ca/sign/using/video/how-to-create-an-easy-to-follow-send-experience-in-adobe-sign-using-workflows.html,unknown,How to create an easy send experience in Acrobat Sign using ...,https://helpx.adobe.com/ca/sign/using/video/how-to-utilize-adobe-acrobat-sign-web-forms.html,unknown,How to utilize Adobe Acrobat Sign Web Forms,https://www.youtube.com/watch?v=6xssnpYFD-s,youtube_embed,Adobe XD Demo - YouTube,https://www.youtube.com/watch?v=KR-AE-yznY4,youtube_embed,What You Can Do with Adobe XD (Preview) | Adobe Creative Cloud,https://www.youtube.com/watch?v=N4wahmW19SU,youtube_embed,Adobe XD Montreal Demo - YouTube,https://www.youtube.com/watch?v=KkGY1fGWXiU,youtube_embed,Creative app demo: Adobe XD - YouTube,,,
Adobe Stock,stock.adobe.com,https://stock.adobe.com/,,96.0,37897910,2622300,Website Video Scrape,No,,,Yes,3,https://www.youtube.com/watch?v=HwSFSu_9st0,youtube_embed,Welcome to Adobe Stock - YouTube,https://business.adobe.com/resources/demos-videos.html,unknown,Adobe Demos and Video Resources,https://stock.adobe.com/search/video?k=demo,unknown,"Demo Stock Videos – 14,740 HD & 4K Footage Clips | Adobe Stock",,,,,,,,,,,,,,,,,,,,,
Autopilot,learn.microsoft.com,https://learn.microsoft.com/en-us/autopilot/overview,,96.0,21701031,1525709,Website Video Scrape,No,,,Yes,8,https://www.youtube.com/watch?v=zqwkaWTzsRo,youtube_embed,Windows Autopilot | How It Works & How to Set It Up - YouTube,https://www.youtube.com/watch?v=wOMRrZekkx0,youtube_embed,Microsoft 365 Windows Autopilot | Demonstration & Overview,https://www.youtube.com/watch?v=dd-HWgYg4PM,youtube_embed,Quick Basic Intro to Windows Autopilot for Beginners - YouTube,https://www.youtube.com/watch?v=_h82E7WXabw,youtube_embed,Autopilot Demo - YouTube,https://www.youtube.com/watch?v=dAl9FsWOnlI,youtube_embed,Learn how to build bots with Azure Bot Service's ... - YouTube,https://www.youtube.com/watch?v=xwLcWmhy6HI,youtube_embed,Create an AI Chatbot with Azure in Under 30 Minutes - YouTube,https://www.youtube.com/watch?v=530FEFogfBQ,youtube_embed,Microsoft Bot Framework Tutorial & Azure Bot Service Intro - YouTube,https://www.youtube.com/watch?v=1xgMEkvEppM,youtube_embed,Build your own bots with Azure Bot Service - YouTube,,,,,,
Azure Translator,azure.microsoft.com,https://azure.microsoft.com/en-ca/products/ai-foundry/tools/translator,,96.0,4702767,72043,Website Video Scrape,No,,,Yes,4,https://www.youtube.com/watch?v=IHJ2CwhVDhs,youtube_embed,AI102 -Translating Text with Azure AI Translator Service - YouTube,https://www.youtube.com/watch?v=hn8Ac5B1NSg,youtube_embed,Microsoft Azure AI Translator- Converting a Documents Text Layer to ...,https://www.youtube.com/watch?v=XvUvGPl4BMA,youtube_embed,How to use the Azure Translator Service (includes Delphi example),https://www.youtube.com/watch?v=dzrLTa31nHY,youtube_embed,Set up the Microsoft Azure translator service - YouTube,,,,,,,,,,,,,,,,,,
Bablic,apps.shopify.com,https://apps.shopify.com/bablic-translation,,96.0,794519,44283,Website Video Scrape,No,,,Yes,4,https://www.youtube.com/watch?v=S23ShQOa1lg,youtube_embed,How To Use Judge.Me (For Beginners) - YouTube,https://vimeo.com/585742856,vimeo,3D Software Demo - Judge.me on Vimeo,https://www.youtube.com/watch?v=K3TUuSYpYOo,youtube_embed,Judge.me Reviews Shopify Tutorial: How To Add ... - YouTube,https://www.youtube.com/watch?v=AG8vkz79cbY,youtube_embed,How to Request Reviews Automatically in Judge.me [2026 Full Guide],,,,,,,,,,,,,,,,,,
Causal,microsoft.com,https://www.microsoft.com/en-us/research/video/demo-enabling-end-to-end-causal-inference-at-scale/,,96.0,321137731,3928693,Website Video Scrape,No,,,Yes,5,https://www.youtube.com/watch?v=eIpkJc8kZV8,youtube_embed,Causal: The 4-minute Demo - YouTube,https://www.youtube.com/watch?v=4JRDx5wTfpc,youtube_embed,Causal for Financial Planning (FP&A) - YouTube,https://www.microsoft.com/en-us/research/video/demo-enabling-end-to-end-causal-inference-at-scale/,unknown,Demo: Enabling end-to-end causal inference at scale - Microsoft,https://www.youtube.com/watch?v=hONB99qQFkM,youtube_embed,Causal Analysis and Software Systems Engineering - YouTube,https://video.sas.com/detail/video/6185595525001/building-and-using-dags-for-causal-inference,unknown,Building and Using DAGs for Causal Inference - SAS Video Portal,,,,,,,,,,,,,,,
